id,kind,title,pages,prerequisites,formal_status
B.1,Theorem,Number of optimal plane trees,24,"4.4,4.6",verified_scalar_model
C.1,Theorem,Derivative products and one-sided derivatives,28,"5.3,5.4",verified_scalar_model
C.2,Corollary,Strict corner at 3/2,30,"C.1,CERT6",verified_scalar_model
C.3,Theorem,Nested finite phase-minimum certificates,31,"2.6,EQ21,5.2,5.4,5.5",verified_scalar_model
D.1,Lemma,Local A-versus-K inequalities,32,"2.6,ADEF",verified_scalar_model
D.2,Lemma,"Discrete modulus for U, W, C",32,"4.2,5.2,5.4,5.5,6.2,FREC",verified_scalar_model
D.3,Proposition,Support barrier and exact deficit identity,33,"5.2,6.4,FREC",verified_scalar_model
D.4,Lemma,Strict interior power envelope,34,"2.6,5.1,5.2,5.4,5.5",verified_scalar_model
D.5,Lemma,Contact fraction and dyadic exclusion,34,6.4,verified_scalar_model
D.6,Theorem,Strict dyadic-ray separation,35,"6.3,D.8",verified_scalar_model
D.7,Lemma,Constant-phase rigidity,35,"6.3,6.4,D.3,EQ21,FREC",verified_scalar_model
D.8,Theorem,Strict separation at every phase,36,"CONTACT,D.4,D.5,6.3",verified_scalar_model
D.9,Proposition,Upper phase enclosure,36,"5.5,6.3,6.4,FREC",verified_scalar_model
SMALL,Auxiliary,Uniform small-pivot estimate (75),34,"D.3,5.5,6.4",pending
CONCENTRATION,Auxiliary,First macro pivot on the actual finite spine,"34,35","SMALL,D.3,D.5,6.4",pending
CONTACT,Auxiliary,Contact propagation using the actual continuation,35,"CONCENTRATION,6.3,5.5",pending
EXT18,External,Zhang-Jiang: ConPP closure and Huber bound,"4,15",,external
EXT9,External,Grimmer-Shu-Wang: s/f joins and guarantees,"4,16,17",,external
EXT36,External,Grimmer-Shu-Wang: dyadic improvement and lower bound,17,,external
KDEF,Definition,"Radical kernel K, rho, p, q","5,6,12",,pending
ADEF,Definition,Asymmetric radical kernel A,17,,pending
PDEF,Definition,Four-factor conjugate polynomial (13),6,KDEF,pending
QDEF,Definition,Elementary symmetric quartic (14),7,,pending
EQ5,Bridge,Affine and reciprocal conjugacies (5),5,KDEF,pending
EQ21,Bridge,Exact dyadic scaling (21),12,"2.6,4.2",pending
FREC,Bridge,OBS-F reciprocal recursion (37),17,"6.1,2.5,ADEF,EXT9",pending
RAYS,Bridge,Existence and invariance of fixed-ray limits,17,"FREC,D.1",pending
DENSITY,Bridge,Density of integer logarithmic phases,"14,19",,pending
CERT6,Certificate,Six-step rational interval certificate,"30,31","5.3,5.4",pending
CERT17,Certificate,Level-17 outward-rounded certificate,31,4.2,pending
EQ66,Unnumbered,Marginal increment law (66),32,"EQ21,C.1",pending
SEED,Unnumbered,Fixed dyadic seeds preserve the exponent,32,EQ21,pending
BEXP,Unnumbered,Exponential multiplicity on N=3*2^k,25,B.1,pending
